fam_id,redcap_event_name,task_complete_elt,exp_error_elt___0,exp_error_elt___1,exp_error_elt___2,exp_error_elt___3,exp_error_elt___4,exp_error_elt___5,exp_error_elt___6,exp_error_oth_elt,eltpart1_exp1,eltpart1_exp2,eltpart1_exp3,eltpart1_exp4,eltpart1_exp5,eltpart1_exp6,eltpart1_exp7,eltpart1_exp8,experimenter_point_total,eltpart2_rec1,eltpart2_rec2,eltpart2_rec3,eltpart2_rec4,child_point_total,oc_elt_notes,affect_knowledge_labeling_complete,task_complete_apt,exp_error_apt___0,exp_error_apt___1,exp_error_apt___2,exp_error_apt___3,exp_error_apt___4,exp_error_apt___5,exp_error_apt___6,exp_error_oth_apt,oc_apt_01,oc_apt_02,oc_apt_03,oc_apt_04,oc_apt_05,oc_apt_06,oc_apt_07,oc_apt_08,auto_score,oc_apt_total,notes_apt,affect_perspective_taking_complete,task_complete_bd,exp_error_bd___0,exp_error_bd___1,exp_error_bd___2,exp_error_bd___3,exp_error_bd___4,exp_error_bd___5,exp_error_bd___6,exp_error_oth_bd,oc_bd_p1,oc_bd_p2,oc_bd_p1tries,oc_bd_p2tries,oc_bd_brule,oc_bd_brtries,oc_bd_drule,oc_bd_drtries,oc_bd_01,oc_bd_02,oc_bd_03,oc_bd_04,oc_bd_05,oc_bd_06,oc_bd_07,oc_bd_08,oc_bd_09,oc_bd_10,oc_bd_notes,bear_score,dragon_score,total_correct_bd,auto,auto_total_points_bd,beardragon_complete,task_complete_dcs,exp_error_dcs___0,exp_error_dcs___1,exp_error_dcs___2,exp_error_dcs___3,exp_error_dcs___4,exp_error_dcs___5,exp_error_dcs___6,exp_error_oth_dcs,oc_dcs_01,oc_dcs_02,oc_dcs_03,oc_dcs_04,oc_dcs_05,oc_dcs_06,oc_dcs_07,oc_dcs_08,oc_dcs_09,oc_dcs_10,oc_dcs_11,oc_dcs_12,oc_dcs_13,oc_dcs_14,oc_dcs_15,oc_dcs_16,oc_dcs_17,oc_dcs_18,oc_dcs_19,oc_dcs_20,oc_dcs_21,oc_dcs_22,oc_dcs_23,oc_dcs_24,oc_dcs_25,oc_dcs_26,oc_dcs_27,oc_dcs_28,oc_dcs_29,oc_dcs_30,oc_dcs_31,oc_dcs_32,oc_dcs_33,oc_dcs_34,oc_dcs_35,oc_dcs_36,total_correct_dcs,total_administered_dcs,oc_dcs_notes,dimensional_card_sort_complete,task_complete_es,exp_error_es___0,exp_error_es___1,exp_error_es___2,exp_error_es___3,exp_error_es___4,exp_error_es___5,exp_error_es___6,exp_error_oth_es,oc_es_intblue,oc_es_intgreen,oc_es_intmom,oc_es_hapstrat,oc_es_hgen,oc_es_h1,oc_es_h2,oc_es_h3,happy_total,oc_es_angstrat,oc_es_agen,oc_es_a1,oc_es_a2,oc_es_a3,angry_total,oc_es_sadstrat,oc_es_sgen,oc_es_s1,oc_es_s2,oc_es_s3,sad_total,total_multiple_choice,total_score,oc_es_notes,emotion_strategies_puppet_task_complete
90001,time_3_arm_1,1,1,0,0,0,0,0,0,,Happy,2,Mad,1,Angry,2,Sad,1,6,1,0,0,0,1,,2,1,0,1,0,0,0,0,0,,3,2,3,3,1,2,4,3,13,13,,2,1,1,0,0,0,0,0,0,,1,1,1,3,1,3,0,1,3,0,3,0,3,3,0,3,0,3,,3,3,6,,18,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,16,24,,2,1,1,0,0,0,0,0,0,,Blue,Greenie,Purple,make mom mad  presents  be mad at mom ,1,0,0,0,1,sleep,1,0,1,0,2,catch the puppy ,1,0,0,1,2,2,5,,2
90001,time_4_arm_1,1,1,0,0,0,0,0,0,,Mad,0,Mad,1,Mad,2,Mad,1,4,1,1,1,1,4,,2,1,1,0,0,0,0,0,0,,5,7,8,8,5,7,2,2,8,8,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,2,0,2,3,3,0,3,0,3,3,3,3,0,,3,4,7,0,21,2,3,0,0,0,0,0,1,0,,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,12,23,,2,1,1,0,0,0,0,0,0,,Blue,Greenie,Mom,"""Play with presents"" ""Steal Blue and Greenie's presents"" ""Take away that girl cause she's mean""",0,0,1,0,1,"""Be happy again""",0,0,1,1,2,"""They could get their car""",0,1,1,0,2,5,5,,2
90002,time_1_arm_1,1,1,0,0,0,0,0,0,,Happy,2,Sad,2,grumpy,2,cute,0,,1,1,1,1,,,2,1,1,0,0,0,0,0,0,,1,2,3,4,1,2,4,3,,16,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,3,3,0,,,,,,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,2,1,1,0,0,0,0,0,0,,Blue,Greenie,Heather,I don't know,0,0,0,0,,"calm down, play outside, play in park",3,0,0,1,,I don't know,0,0,0,1,,,,,2
90002,time_2_arm_1,1,1,0,0,0,0,0,0,,happy,2,sad,2,mad,2,scared,2,,1,1,1,1,,,2,1,1,0,0,0,0,0,0,,1,2,3,4,1,2,4,3,,16,,2,1,1,0,0,0,0,0,0,,1,0,1,1,1,1,0,1,3,3,3,3,3,3,3,3,3,3,,,,,,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,,,2,2,1,0,0,0,0,0,0,,Blue,Greenie,Heather,I don't know ,0,1,1,1,,I don't know ,0,,1,1,,I don't know ,0,1,1,1,,,,"RA's messed up some of the forced choice  Missing Angry question 3, Angry total score is wrong ",2
90002,time_3_arm_1,3,0,0,0,0,0,0,1,Missing video footage ,,,,,Mad,2,Scared,2,4,1,1,1,1,4,"video start from ""angry face"" for experimenter point trials",0,1,1,0,0,0,0,0,0,,1,2,3,4,1,2,4,3,16,16,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,3,3,3,,5,5,10,,30,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,36,,2,1,1,0,0,0,0,0,0,,Blue,Greenie,heaither,think something else  play,1,1,1,1,4,find a different toy or share,2,1,1,1,5,they can think something else,1,1,1,1,4,9,13,,2
90002,time_4_arm_1,1,1,0,0,0,0,0,0,,Happy,2,Sad,2,Mad,2,Scared,2,8,1,1,1,1,4,,2,1,1,0,0,0,0,0,0,,2,2,2,2,2,2,2,8,15,15,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,3,3,3,,5,5,10,2,30,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,34,36,,2,1,1,0,0,0,0,0,0,,Blue,Greenie,Mama,"""Not think about present"" ""They can do something else""",2,1,1,1,5,"""Think about something else or play with something""",2,1,1,1,5,"""Think about something else"" ""find another toy"" ""rest""",3,1,1,1,6,9,16,,2
90003,time_1_arm_1,1,1,0,0,0,0,0,0,,Happy,2,Sad,2,Angry,2,nonsense,0,,1,1,1,1,,,2,1,1,0,0,0,0,0,0,,1,2,3,4,1,2,4,3,,16,,2,1,1,0,0,0,0,0,0,,1,1,2,3,1,1,0,1,3,0,3,0,3,3,3,3,3,3,,,,,,,2,3,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,2,1,1,0,0,0,0,0,0,,Blue,Greenie,mire,"eat some goldfish, color from crayon, paint",0,0,1,0,,"jump up and down, get a present",1,1,1,1,,"having a present (from the child), having a crayon, reading and writing with pans, having goldfish",4,1,1,1,,,,,2
90003,time_2_arm_1,1,1,0,0,0,0,0,0,,Happy,2,Sad,2,Mad,2,Surprised,1,,1,1,1,1,,,2,1,1,0,0,0,0,0,0,,1,2,3,4,1,2,2,3,,15,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,3,3,3,"Dwring reminder of rules, accidentally said to disobey both dragon and bear, so #7 was repeated and child got it correct the second time. ",,,,,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,,,,2,1,1,0,0,0,0,0,0,,Blue,Greenie,Myra,"Calm down, have a snack, color or paint, make friends, got to the park, play with toys, having another snack ",3,1,1,0,,"Paint, color, play puppet show, eat a snack, have goldfish, go to the park, draw pictures, have a bath, make friends",5,1,1,1,,"share snack, have a snack, buy some stickers, pretend to be a ladybug, play burnbre bee, paint, color, have some water, have some tea, grow some swnflower seeds, plant some flowers, play w/ bracelet ",5,1,1,1,,,,,2
90003,time_3_arm_1,1,1,0,0,0,0,0,0,,Happy,2,Sad,2,mad,2,I don't know,0,6,1,1,1,1,4,,2,1,1,0,0,0,0,0,0,,1,2,3,4,1,2,3,4,14,14,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,3,3,1,@19:13 partial movement for dragon saying wave hand ? not sure if that would be include in this score ,5,4,9,,28,2,1,1,0,0,0,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,32,36,,2,1,1,0,0,0,0,0,0,,blue,greenie,mom,not say anything   having a snack ,1,1,1,1,4,have a snack like gold fish/cereal  play with crayons(color),2,0,1,1,4,go outside  play with crayons,1,0,1,1,3,7,11,For ideas how to stop being angry child brings up effective strategy (take turns)- didn't count because it was before she was asked to answer,2
90003,time_4_arm_1,1,1,0,0,0,0,0,0,,Happy,2,Sad,2,Mad,2,Surprised,2,8,1,1,1,1,4,-99,2,1,1,0,0,0,0,0,0,,2,2,2,2,2,2,2,2,16,16,-99,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,3,3,3,-99,5,5,10,2,30,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,9,9,9,9,9,9,9,9,24,28,-99,2,1,1,0,0,0,0,0,0,,Blue,Greenie,Myra,Eat Cheerios. Having their present already. Making a picture for their mom. ,2,1,0,1,4,"Drink juice. When Blue stops playing with the toy, Greenie can play with it, and Blue can drink juice. Get a pet ladybug. ",3,1,1,1,6,Drink juice all day. Go outside to find your puppy in the bushes or garage. Their mom can wrap two presents for them. ,3,1,1,1,6,8,16,-99,2
90004,time_1_arm_1,1,1,0,0,0,0,0,0,,Happy,2,no response,1,Angry,2,Surprised,1,,1,0,1,0,,,2,1,1,0,0,0,0,0,0,,1,4,3,2,1,3,3,3,,12,,2,1,1,0,0,0,0,0,0,,1,1,3,1,1,1,0,1,3,3,3,3,3,3,3,3,3,3,,,,,,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,,,,2,1,1,0,0,0,0,0,0,,Blue,Greenie,no response,no response,0,0,0,1,,no response,0,1,0,1,,no response,0,1,0,1,,,,,2
90004,time_3_arm_1,1,1,0,0,0,0,0,0,,Happy,2,Sad,2,Mad,2,Happy,0,6,1,1,1,1,4,,2,1,1,0,0,0,0,0,0,,1,3,2,4,1,2,1,3,12,12,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,3,3,3,,5,5,10,,30,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,19,36,,2,1,1,0,0,0,0,0,0,,blue,greenie,mommy,Calm down.,1,1,0,1,3,Sit down and read books.,1,1,1,1,4,Find the puppy.,1,1,1,1,4,8,11,,2
90004,time_4_arm_1,1,1,0,0,0,0,0,0,,Happy,2,Sad,2,Mad,2,Surprised,2,8,1,1,1,1,4,,2,1,1,0,0,0,0,0,0,,6,2,2,2,6,2,2,2,12,12,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,3,3,3,,5,5,10,0,30,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,28,36,,2,1,1,0,0,0,0,0,0,,blue,greenie,mommy,"""I don't know""",0,1,0,1,2,"""Maybe writing their names on their toys"" ""Um no""",1,1,1,1,4,"""I think go outside + rake leaves""",1,1,1,1,4,8,10,,2
90005,time_1_arm_1,1,1,0,0,0,0,0,0,,Angry,0,Sad,2,Angry,2,Angry,1,,1,1,1,1,,,2,1,1,0,0,0,0,0,0,,1,2,3,4,1,2,3,4,,14,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,3,3,3,,,,,,,2,2,0,0,0,0,0,0,1,"In #7 of the advanced post-switch B trial the experimenter mispoke and said ""here's one with no border  ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,,,"In #7 of the advanced post-switch B trial the experimenter mispoke and said ""here's one with no border  ",2,1,1,0,0,0,0,0,0,,Blue,Greenie,mom,I don't know ,0,0,1,1,,I don't know ,0,1,1,1,,I don't know ,0,0,1,0,,,,,2
90005,time_3_arm_1,1,1,0,0,0,0,0,0,,Happy,2,Sad,2,angry,2,scared,2,8,1,1,1,1,4,,2,1,1,0,0,0,0,0,0,,2,2,7,7,2,2,7,7,12,12,,2,3,0,0,0,0,0,0,1,Cannot see response to first question,1,1,1,1,1,1,0,1,,3,3,3,3,3,3,3,3,3,,4,5,9,2,27,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,28,36,,2,1,1,0,0,0,0,0,0,,blue,greenie,mom,"""I don't know"" ",0,1,1,1,3,no ideas,0,1,1,1,3,"""Don't know""",0,1,1,1,3,9,9,,2
90006,time_3_arm_1,1,1,0,0,0,0,0,0,,Happy,2,Sad,2,Mad,2,Happy,0,6,1,1,1,1,4,,2,1,1,0,0,0,0,0,0,,1,3,2,4,1,2,1,3,12,12,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,3,3,3,,5,5,10,,30,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,19,36,,2,1,1,0,0,0,0,0,0,,blue,greenie,mommy,Calm down.,1,1,0,1,3,Sit down and read books.,1,1,1,1,4,Find the puppy.,1,1,1,1,4,8,11,,2
90007,time_4_arm_1,1,1,0,0,0,0,0,0,,Happy,2,Sad,2,Mad,2,Surprised,2,8,1,1,1,1,4,,2,1,1,0,0,0,0,0,0,,6,2,2,2,6,2,2,2,12,12,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,3,3,3,,5,5,10,0,30,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,28,36,,2,1,1,0,0,0,0,0,0,,blue,greenie,mommy,"""I don't know""",0,1,0,1,2,"""Maybe writing their names on their toys"" ""Um no""",1,1,1,1,4,"""I think go outside + rake leaves""",1,1,1,1,4,8,10,,2
90008,time_1_arm_1,1,1,0,0,0,0,0,0,,Angry,0,Sad,2,Angry,2,Angry,1,,1,1,1,1,,,2,1,1,0,0,0,0,0,0,,1,2,3,4,1,2,3,4,,14,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,3,3,3,,,,,,,2,2,0,0,0,0,0,0,1,"In #7 of the advanced post-switch B trial the experimenter mispoke and said ""here's one with no border  ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,,,"In #7 of the advanced post-switch B trial the experimenter mispoke and said ""here's one with no border  ",2,1,1,0,0,0,0,0,0,,Blue,Greenie,mom,I don't know ,0,0,1,1,,I don't know ,0,1,1,1,,I don't know ,0,0,1,0,,,,,2
90009,time_3_arm_1,1,1,0,0,0,0,0,0,,Happy,2,Sad,2,angry,2,scared,2,8,1,1,1,1,4,,2,1,1,0,0,0,0,0,0,,2,2,7,7,2,2,7,7,12,12,,2,3,0,0,0,0,0,0,1,Cannot see response to first question,1,1,1,1,1,1,0,1,,3,3,3,3,3,3,3,3,3,,4,5,9,2,27,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,28,36,,2,1,1,0,0,0,0,0,0,,blue,greenie,mom,"""I don't know"" ",0,1,1,1,3,no ideas,0,1,1,1,3,"""Don't know""",0,1,1,1,3,9,9,,2
